Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Michigan,Big Ten (East),1,15,0,8.54,16.47,25.01,55.90,-6.17,11.00,4.11,6.16,1.82,8.03,2.98
2,Texas,Big 12,3,12,2,9.43,10.89,20.32,54.22,-1.30,10.51,4.94,6.21,1.64,8.18,3.57
3,Ohio State,Big Ten (East),10,11,2,4.03,16.22,20.26,49.00,-6.57,10.77,3.31,5.64,2.16,8.07,2.71
4,Georgia,SEC (East),4,13,1,8.62,11.38,20.00,57.41,-2.05,11.31,3.61,6.60,2.40,8.78,3.11
5,Oregon,Pac-12,6,12,2,8.10,11.84,19.94,59.12,-1.83,11.35,4.08,7.03,2.60,9.29,3.32
6,Penn State,Big Ten (East),13,10,3,5.21,13.02,18.23,54.23,-2.48,8.73,4.74,6.10,1.23,7.25,2.81
7,Alabama,SEC (West),5,12,2,8.42,9.74,18.16,52.88,-1.55,11.50,4.08,5.88,2.19,7.88,3.15
8,Washington,Pac-12,2,14,1,13.36,4.53,17.89,55.42,3.83,11.00,4.14,5.85,3.24,8.75,3.76
9,Notre Dame,Ind,14,10,3,7.31,9.48,16.79,56.41,0.70,10.88,3.71,6.73,2.37,8.50,3.04
10,Florida State,ACC,6,13,1,6.24,10.27,16.51,51.34,1.82,9.82,4.09,5.89,2.65,7.71,3.38
11,Missouri,SEC (East),8,11,2,8.14,8.22,16.36,49.68,0.45,11.00,4.44,5.70,2.43,7.92,3.39
12,Oklahoma,Big 12,15,10,3,11.52,4.34,15.86,59.09,4.68,10.93,4.65,5.68,2.42,8.07,3.64
13,Kansas State,Big 12,18,9,4,9.06,6.56,15.63,55.31,3.46,9.07,4.59,6.33,3.45,7.49,4.12
14,LSU,SEC (West),12,10,3,16.28,-1.61,14.66,64.78,11.30,12.71,5.91,7.53,3.26,10.00,4.74
15,Arizona,Pac-12,11,10,3,8.33,5.48,13.80,50.86,4.00,10.69,5.15,5.75,2.69,8.35,3.85
16,Ole Miss,SEC (West),9,11,2,8.20,5.29,13.49,53.00,4.31,11.40,5.23,5.66,2.59,8.06,3.88
17,Tennessee,SEC (East),17,9,4,3.90,6.80,10.69,49.81,3.78,9.77,4.97,6.93,2.18,8.15,3.55
18,Louisville,ACC,19,10,4,3.34,7.09,10.42,47.13,2.76,10.06,5.33,5.95,1.78,7.71,3.59
19,Troy,Sun Belt (West),,11,3,1.79,8.51,10.29,41.50,3.06,9.38,5.16,5.42,1.91,7.27,3.57
20,Clemson,ACC,20,9,4,4.20,5.62,9.82,47.36,3.85,8.16,3.73,5.77,2.34,6.82,3.11
21,Maryland,Big Ten (East),,8,5,7.04,2.70,9.74,48.52,7.85,9.64,5.01,5.19,2.37,7.60,3.69
22,USC,Pac-12,,8,5,16.65,-7.06,9.59,60.97,16.00,11.66,5.62,6.29,3.48,9.18,4.35
23,Oregon State,Pac-12,,8,5,5.22,4.20,9.42,49.53,4.62,10.51,5.12,6.16,2.38,8.13,3.67
24,Liberty,CUSA,25,13,1,9.23,-0.05,9.18,49.87,13.49,11.02,5.73,6.75,3.28,8.20,4.65
25,Kansas,Big 12,23,9,4,8.71,0.35,9.06,50.81,9.23,11.65,5.64,6.38,3.21,8.37,4.32
26,Duke,ACC,,8,5,2.93,6.09,9.02,44.77,3.31,8.53,4.76,6.42,2.82,7.30,3.80
27,Texas A&M,SEC (West),,7,6,4.49,4.48,8.98,49.74,4.43,9.85,5.35,5.20,1.87,7.40,3.57
28,James Madison,Sun Belt (East),,11,2,3.98,4.55,8.53,45.92,7.09,10.00,5.51,5.01,1.51,7.37,3.83
29,Miami (FL),ACC,,7,6,4.64,3.33,7.97,48.15,6.74,9.52,5.48,6.36,2.07,7.87,3.82
30,North Carolina State,ACC,21,9,4,1.77,5.64,7.41,43.24,3.77,8.65,4.94,5.62,2.56,6.89,3.92
31,SMU,American,22,11,3,1.05,6.36,7.41,50.05,5.31,9.37,4.80,5.21,2.53,7.11,3.58
32,Iowa State,Big 12,,7,6,1.93,5.27,7.20,43.39,4.95,10.01,5.01,5.22,2.61,7.50,3.83
33,West Virginia,Big 12,,9,4,5.50,1.53,7.03,47.41,8.74,9.59,5.76,6.46,3.02,7.64,4.34
34,Utah,Pac-12,,8,5,-3.28,10.25,6.97,39.79,-0.15,8.43,4.62,5.47,1.97,6.62,3.36
35,Texas Tech,Big 12,,7,6,2.91,4.03,6.94,44.38,7.11,7.98,4.69,5.61,2.89,6.71,3.80
36,Oklahoma State,Big 12,16,10,4,5.85,0.60,6.45,47.02,10.22,8.55,6.64,6.09,3.18,7.35,4.85
37,Texas Christian,Big 12,,5,7,5.78,0.62,6.40,48.31,8.89,9.27,5.78,5.79,2.98,7.60,4.23
38,UCLA,Pac-12,,8,5,-2.30,8.67,6.37,41.17,1.98,8.95,4.41,5.99,1.65,7.28,3.08
39,Memphis,American,,10,3,11.19,-4.90,6.29,51.88,16.16,9.47,6.49,5.55,3.56,7.59,5.09
40,Iowa,Big Ten (West),24,10,4,-7.03,13.30,6.26,33.30,-2.03,6.71,3.49,4.88,1.76,5.60,2.69
41,North Carolina,ACC,,8,5,7.56,-1.55,6.01,50.74,11.67,10.31,5.69,6.27,2.94,8.13,4.28
42,Virginia Tech,ACC,,7,6,4.06,1.84,5.90,46.77,9.78,9.19,4.82,6.48,3.07,7.56,3.94
